Publication Year,Author,Title,Publication Title,DOI,Url,Abstract Note,Date,Pages,Issue,Volume,Publisher,Place
2007,"Sakai, Akira; Engelmann, Florent","Vitrification, encapsulation-vitrification and droplet-vitrification: A review",Cryoletters,,,"This paper discusses the importance of the successive steps of the vitrification technique and reviews the current development and use of vitrification and of the two derived protocols, encapsulation-vitrification and droplet-vitrification. Vitrification refers to the physical process by which a highly concentrated cryoprotective solution supercools to very low temperatures and finally solidifies into a metastable glass, without undergoing crystallization at a practical cooling rate. Samples are thus cryopreserved without detrimental intracellular ice formation. In a standard vitrification protocol, excised explants are precultured on medium enriched with sucrose, treated ('loaded') with a loading solution composed of 2 M glycerol + 0.4 M sucrose, dehydrated with a highly concentrated vitrification solution [e.g. the PVS2 vitrification solution, which contains 30% (w/v) glycerol, 15% (w/v) ethylene, glycol and 15% (w/v) DMSO and 0.4 M sucrose], frozen and rewarmed rapidly, unloaded with basal culture medium supplemented with 1.2 M sucrose, and then transferred to standard culture conditions. In the encapsulation-vitrification technique, the explants are encapsulated in alginate beads, loaded and dehydrated with a vitrification solution before rapid immersion in liquid nitrogen. In the droplet-freezing technique, excised explants are loaded, treated with the vitrification solution and frozen in individual microdroplets of vitrification solution placed on aluminium foils, which are immersed rapidly in liquid nitrogen. These three techniques have been applied to different tissues of over 100 plant species from temperate and tropical origins and the number of cases where they are being tested on a large scale or applied routinely is increasing.",2007,151-172,3,28,,
2017,"Mangel, Nathalie; Fudge, Jared B; Fitzpatrick, Teresa B; Gruissem, Wilhelm; Vanderschuren, Herve",Vitamin B-1 diversity and characterization of biosynthesis genes in cassava,Journal of Experimental Botany,10.1093/jxb/erx196,,"Vitamin B-1, which consists of the vitamers thiamin and its phosphorylated derivatives, is an essential micronutrient for all living organisms because it is required as a metabolic cofactor in several enzymatic reactions. Genetic diversity of vitamin B-1 biosynthesis and accumulation has not been investigated in major crop species other than rice and potato. We analyzed cassava germplasm for accumulation of B-1 vitamers. Vitamin B-1 content in leaves and roots of 41 cassava accessions showed significant variation between accessions. HPLC analyses of B-1 vitamers revealed distinct profiles in cassava leaves and storage roots, with nearly equal relative levels of thiamin pyrophosphate and thiamin monophosphate in leaves, but mostly thiamin pyrophosphate in storage roots. Unusually, the cassava genome has two genes encoding the 4-amino-2-methyl-5-hydroxymethylpyrimidine phosphate synthase, THIC (MeTHIC1 and MeTHIC2), both of which carry a riboswitch in the 3'-UTR, as well as the adenylated thiazole synthase, THI1 (MeTHI1a and MeTHI1b). The THIC and THI1 genes are expressed at very low levels in storage roots compared with the accumulation of vitamin B1, indicating only limited biosynthesis de novo therein. In leaves, vitamin B1 content is negatively correlated with THIC and THI1 expression levels, suggesting post-transcriptional regulation of THIC by the riboswitch present in the 3'-UTR of the THIC mRNA and regulation of THI1 by promoter activity or alternative post-transcriptional mechanisms.",2017,3351-3363,13,68,,
1985,"Osuntokun, B; Aladetoyinbo, A; Bademosi, O",Vitamin B nutrition in the Nigerian tropical ataxic neuropathy,Journal of Neurology Neurosurgery and Psychiatry,10.1136/jnnp.48.2.154,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021858116&doi=10.1136%2Fjnnp.48.2.154&partnerID=40&md5=51bcb7efcb88142ef60bf969a1eaee49,"Assessment of nutritional status of vitamin B components by plasma or blood levels indicated riboflavin deficiency and possibly thiamine deficiency in Nigerian patients who suffered from tropical ataxic neuropathy and neurologically normal Nigerians who subsisted on predominant cassava diet. Serum levels of folate, niacin, pyridoxine and panthothenic acid were normal. Vitamin deficiencies probably are minor factors, if any, in the pathogenesis of tropical ataxic neuropathy in Nigerians.",1985,154-156,2,48,,
2017,"Ilona, P; Bouis, H E; Palenberg, M; Moursi, M; Oparinde, A",Vitamin A cassava in Nigeria: Crop development and delivery,"African Journal of Food, Agriculture, Nutrition and Development",10.18697/ajfand.HarvestPlus09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019898725&doi=10.18697%2Fajfand.HarvestPlus09&partnerID=40&md5=b522ef0c8b95861f91ddbbddefa6e947,"Biofortified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria, progress in monitoring and evaluation of results, and synthesizes lessons learned and future challenges.""iofortified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria, progress in monitoring and evaluation of results, and synthesizes lessons learned""ofortified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria, progress in monitoring and evaluation of results, and synth""fortified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria, progress in monitoring and evaluation ""ortified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria, progress in monito""rtified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava varieties in Nigeria,""tified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vitamin A cassava var""ified vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of biofortified vita""fied vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development and release of b""ied vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop development a""ed vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer background, the crop""d vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and consumer backgro"" vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutritional and cons""vitamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country, nutrition""itamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the country,""tamin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summarizes the""amin A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper summar""min A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This paper""in A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products. This""n A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava products."" A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava produ""A "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava pr"" "yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava """yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava""yellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A cassava""ellow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitamin A c""llow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vitami""low" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat vi""ow" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and eat""w" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and e""" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and "" cassava can help address the adverse health effects of vitamin A deficiency. By 2016, HarvestPlus and its partners had successfully developed and delivered vitamin A cassava varieties to more than one million farming households in Nigeria and the Democratic Republic of Congo (DRC). HarvestPlus has established the proof of concept that vitamin A cassava varieties can be developed without compromising yield levels and that these varieties are widely accepted. The delivery program has shown that farmers are willing to grow vitamin A cassava varieties and consumers are willing to buy and ",2017,12000-12025,2,17,,
2013,"Li, B; Knudsen, C; Hansen, N K; Jørgensen, K; Kannangara, R; Bak, S; Takos, A; Rook, F; Hansen, S H; Møller, B L; Janfelt, C; Bjarnholt, N",Visualizing metabolite distribution and enzymatic conversion in plant tissues by desorption electrospray ionization mass spectrometry imaging,Plant Journal,10.1111/tpj.12183,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878780029&doi=10.1111%2Ftpj.12183&partnerID=40&md5=ee5d37e96ea298131b94242f13789d76,"In comparison with the technology platforms developed to localize transcripts and proteins, imaging tools for visualization of metabolite distributions in plant tissues are less well developed and lack versatility. This hampers our understanding of plant metabolism and dynamics. In this study, we demonstrate that desorption electrospray ionization mass spectrometry imaging (DESI-MSI) of tissue imprints on porous Teflon may be used to accurately image the distribution of even labile plant metabolites such as hydroxynitrile glucosides, which normally undergo enzymatic hydrolysis by specific β-glucosidases upon cell disruption. This fast and simple sample preparation resulted in no substantial differences in the distribution and ratios of all hydroxynitrile glucosides between leaves from wild-type Lotus japonicus and a β-glucosidase mutant plant that lacks the ability to hydrolyze certain hydroxynitrile glucosides. In wild-type, the enzymatic conversion of hydroxynitrile glucosides and the concomitant release of glucose were easily visualized when a restricted area of the leaf tissue was damaged prior to sample preparation. The gene encoding the first enzyme in hydroxynitrile glucoside biosynthesis in L. japonicus leaves, CYP79D3, was found to be highly expressed during the early stages of leaf development, and the hydroxynitrile glucoside distribution in mature leaves reflected this early expression pattern. The utility of direct DESI-MSI of plant tissue was demonstrated using cryo-sections of cassava (Manihot esculenta) tubers. The hydroxynitrile glucoside levels were highest in the outer cell layers, as verified by LC-MS analyses. The unexpected discovery of a hydroxynitrile-derived di-glycoside shows the potential of DESI-MSI to discover and guide investigations into new metabolic routes. © 2013 The Authors The Plant Journal © 2013 John Wiley & Sons Ltd.",2013,1059-1071,6,74,,
2003,"Mwanza, J C; Lysebo, D E; Kayembe, D L; Tshala-Katumbay, D; Nyamabo, L K; Tylleskar, T; Plant, G T","Visual evoked potentials in konzo, a spastic paraparesis of acute onset in Africa",Ophthalmologica,10.1159/000073066,,"Aim: To assess whether or not visual evoked potentials (VEPs) are abnormal in konzo, a para/tetraparesis of sudden onset, and to correlate the findings to the clinical picture of the disorder. Methods: VEPs were recorded in 23 patients (9 men and 14 women, mean age: 23 B 10 years) suffering from konzo, and 38 healthy subjects (20 men and 18 women, mean age: 27 B 15 years). The mean P100 latencies and peak-to-peak N75-P100 amplitudes of each eye were measured and compared in the two groups. The mean interocular P100 latency and amplitude differences were calculated and also compared. Results: VEPs were abnormal in 11/23 patients (48%) consisting of P100 prolongation (7 subjects), absence of P100 wave (2 subjects) or an atypical waveform (2 subjects). The mean P100 latency value of the konzo group was significantly increased as compared with the mean (+ 2.5 SD) of the reference values from healthy subjects (p < 0.05). There was a statistically significant decrease of amplitude in konzo patients compared to normal subjects (p < 0.05) with, however, only 2 patients outside the 95% confidence limits. Six patients (27%) had abnormal VEPs despite normal visual acuity. These abnormalities were symmetric and a relation could be found between neither the duration nor the severity of the disease and the VEP perturbation. Conclusion: The main features of these abnormalities are delayed P100 latency and decreased amplitude. These findings indicate involvement of visual pathways and seem to suggest the presence of axonal loss in the prechiasmal visual pathways in konzo. This study provides evidence that the neurodamage in konzo extends to the visual pathways. Copyright (C) 2003 S. Karger AG, Basel.",2003,381-386,6,217,,
2014,"Rojas, J; Yepes, M; Ciro, Y","Viscosity, agglomeration behavior and tableting characteristics of cassava starch modulated by wet granulation: A comparative study","Cassava: Production, Nutritional Properties and Health Effects",,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920902413&partnerID=40&md5=4b71579f7df8a2f0dfce73ab0839bc37,"Starch is one the most common natural polymers used for the preparation of tablets by wet granulation. This technology employs a wet binder which provides to the excipient:drug mixture the proper binding characteristics to form granules able to be compressed into tablets. The aim of this study is to evaluate the viscosity, agglomeration behavior and tableting characteristics of cassava starch and to compare these properties to those of classic binders such as alginic acid, sodium alginate, sodium carboxymethyl cellulose, carrageenan, gelatin, polyvinyl pyrrolidone and gum arabic at 5 and 10% levels using ibuprofen as a model drug. Viscosity profiles were determined on a Brookfield viscometer. Wet binders were added to the microcrystalline cellulose-ibuprofen (60:40) mixtures on a ribbon blender and then granules were formed on an oscillating granulator. Granules were then compressed on a single punch tablet machine. Results indicate that granule properties depended on the binder type, rather than on the binder level employed. Less plastic deforming materials such as alginic acid, gum arabic and PVP k30 rendered tablets with the best compactibility. However, no major differences were observed among the granule properties of cassava and corn starches. Gum arabic and sodium carboxymethyl cellulose produced the most viscous dispersions (>50000 mPas), which in turn, showed no relation with the strength of the compacts produced. The largest particle size was found for granules made with alginic acid and gum arabic (~290 μm), whereas for most granules it ranged from 100 to 150 μm. The true density of the granules produced ranged from 1.31 to 1.40 g/cm3. Granules having the largest size also presented the fastest flow rate (>16 g/s). Further, except for alginic acid, sodium alginate and cassava starch, bulk and tap densities ranged from 0.3 to 0.35 and 0.36 to 0.45 g/cm3, respectively. Moreover, alginic acid and gum arabic produced granules with the lowest porosity (<65%). Likewise, corn starch was the most compressible material (>33%), whereas, alginic acid and gum arabic rendered the least compressible granules. Cassava starch presented the least elastic recovery and along with PVP k30 showed the best reworkability upon reprocessing. This work demonstrated the potential use of cassava starch as a wet binder for the production of drug compacts by wet granulation. © 2014 Nova Science Publishers, Inc.",2014,139-159,,,,"Department of Pharmacy, School of Pharmaceutical Chemistry, University of Antioquia, Antioquia, Colombia"
1973,"Srivastava, H C; Patel, M M",Viscosity stabilization of tapioca starch. [Cassava],Starke,,,,1973,,,,,
2014,"Poonsrisawat, A; Wanlapatit, S; Paemanee, A; Eurwilaichitr, L; Piyachomkwan, K; Champreda, V",Viscosity reduction of cassava for very high gravity ethanol fermentation using cell wall degrading enzymes from Aspergillus aculeatus,Process Biochemistry,10.1016/j.procbio.2014.07.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908319000&doi=10.1016%2Fj.procbio.2014.07.016&partnerID=40&md5=66bacfbe5c1040df3ca253edc5ab6aeb,"Cassava is an important feedstock for bioethanol production; however, its use in very high gravity (VHG) fermentation is limited by the high viscosity of mash due to the presence of plant cell wall derived polysaccharides. In this study, viscosity reduction of cassava root mash, chips, and pulp was achieved using a mixture of cell wall degrading enzymes prepared from solid state fermentation of Aspergillus aculeatus BCC17849. Proteomic analysis showed the mixture contained endo- and exo-acting cellulases, hemicellulases, and pectinases from various glycosyl hydrolase families. Enzymatic pretreatment of cassava substrates with the enzyme mixture containing endoglucanase, FPase, xylanase, polygalacturonase, β-glucanase, and mannanase activities at 45 °C, pH 5.0 for 2 h reduced viscosity to the operating level of <500 mPa s, equivalent to the final viscosity of 3.0-51.3% of the initial levels. Simultaneous saccharification and fermentation of the pretreated root mash (32% initial solid) by Saccharomyces cerevisiae with a conventional high-temperature liquefaction process and an uncooked process using a raw starch degrading amylase at 32°C for 96 h led to a final ethanol concentration of 19.65 and 17.54% (v/v), respectively. The results demonstrated potential of the enzyme for improving process efficiency and economics in VHG bioethanol production. © 2014 Elsevier B.V. All rights reserved.",2014,1950-1957,11,49,,
2001,"Mouquet, C; Trèche, S",Viscosity of gruels for infants: A comparison of measurement procedures,International Journal of Food Sciences and Nutrition,10.1080/09637480120078276,https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034910380&doi=10.1080%2F09637480120078276&partnerID=40&md5=566b3eb2feb9c03bf64eb6f80758a08e,"Numerous studies have been carried out to investigate energy density and consistency of gruels for infants in developing countries. However, starch-rich gruels have a complex rheological behavior and their consistency is difficult to characterize. Many published gruel viscosity data are available, but the lack of standardized viscosity measurement procedures makes comparisons and interpretations difficult. The influences of viscometer type and viscosity measurement conditions on gruels prepared with simple or multicomponent flours were assessed in this study. The results showed a drastic decrease in apparent viscosity when the shear rate increased. Other factors like shear time and gruel temperature also had a marked influence on apparent viscosity. For two types of gruel (maize or multicomponent flour) prepared at different concentrations, correspondences between a short qualitative description of the consistency and apparent viscosity values obtained with several viscometers in different measurement conditions are given. Finally, recommendations are put forward on techniques to obtain valid data on gruel consistency, adapted to each type of study (laboratory, field or large-scale surveys).",2001,389-400,5,52,,
1975,"ODIGBOH, E U; MOHSENIN, N N",VISCOSITY CHARACTERIZATION OF UNMODIFIED CASSAVA STARCH PASTE,Journal of Texture Studies,10.1111/j.1745-4603.1975.tb01131.x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981477538&doi=10.1111%2Fj.1745-4603.1975.tb01131.x&partnerID=40&md5=680eccdfbf6515d15047b9ec1b1a2565,"Unmodified cassava starch paste was characterized on the basis of its paste viscosity as affected by drying, cooking, and paste temperatures at different paste concentrations The paste exhibited plastic fluid flow with high hot‐paste peak viscosity. The temperature of the peak viscosity decreased with increasing concentration. Drying temperature had statistically significant effects on the paste viscosity; the higher the temperature at which the starch was dried, the lower was the paste viscosity over the levels of concentration and cooking temperature. Starch drying temperature and paste concentration significantly affected the paste stability as measured by freeze‐thaw tests and paste retrogradation tendencies. Copyright © 1975, Wiley Blackwell. All rights reserved",1975,363-377,3,6,,
1982,"DICKINSON, E; MCKAY, J E; THOMAS, V D",VISCOMETRIC STUDY OF THE DISPERSION OF WHOLE AND GELATINIZED CASSAVA STARCH,Lebensmittel-Wissenschaft & Technologie,,,,1982,242-244,4,15,,
1982,"Dickinson, E; McKay, J E; Thomas, V D",Viscometric study of the dispersion of whole and gelatinised cassava starch,Lebensmittel - Wissenschaft + Technologie = Food science + technology,,,,1982,,,v. 15,,
